location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,age,monthly,vw_cap,-1,49,2,2005-05-31,-0.0234694769380415
per,age,monthly,vw_cap,-1,54,1,2006-07-31,-0.125010318871624
per,age,monthly,vw_cap,-1,56,1,2006-08-31,-0.233391568983895
per,age,monthly,vw_cap,-1,55,1,2006-09-30,-0.06557188174609
per,age,monthly,vw_cap,-1,56,2,2006-10-31,-0.052044114594825
per,age,monthly,vw_cap,-1,53,1,2006-11-30,0.146822242547082
per,age,monthly,vw_cap,-1,52,1,2006-12-31,0.0258035720832066
per,age,monthly,vw_cap,-1,52,1,2007-01-31,0.216017980399314
per,age,monthly,vw_cap,-1,51,1,2007-02-28,-0.153800599721757
per,age,monthly,vw_cap,-1,55,1,2007-03-31,0.885634280237852
per,age,monthly,vw_cap,-1,56,1,2007-04-30,-0.164848191269176
per,age,monthly,vw_cap,-1,56,1,2007-05-31,0.008476369196051
per,age,monthly,vw_cap,-1,62,2,2007-06-30,0.487069739813619
per,age,monthly,vw_cap,-1,63,2,2007-07-31,0.0455899583145087
per,age,monthly,vw_cap,-1,68,2,2007-08-31,0.0160111836549396
per,age,monthly,vw_cap,-1,68,2,2007-09-30,-0.162226407624667
per,age,monthly,vw_cap,-1,65,2,2007-10-31,-0.17429832537141
per,age,monthly,vw_cap,-1,65,2,2007-11-30,-0.0195808903156224
per,age,monthly,vw_cap,-1,68,2,2007-12-31,-0.0845837661608723
per,age,monthly,vw_cap,-1,68,2,2008-01-31,-0.0864226876308529
per,age,monthly,vw_cap,-1,66,2,2008-02-29,0.0274813815685499
per,age,monthly,vw_cap,-1,67,3,2008-03-31,-0.00418059048176361
per,age,monthly,vw_cap,-1,67,3,2008-04-30,0.330761354851014
per,age,monthly,vw_cap,-1,66,3,2008-05-31,0.255741002043321
per,age,monthly,vw_cap,-1,69,3,2008-06-30,0.22795110221177
per,age,monthly,vw_cap,-1,69,3,2008-07-31,-0.120834852416572
per,age,monthly,vw_cap,-1,66,3,2008-08-31,0.145959581418745
per,age,monthly,vw_cap,-1,65,3,2008-09-30,-0.0389183916897575
per,age,monthly,vw_cap,-1,65,3,2008-10-31,-0.0626643330867465
per,age,monthly,vw_cap,-1,64,3,2008-11-30,-0.32915609170104
per,age,monthly,vw_cap,-1,63,3,2008-12-31,-0.341244379025792
per,age,monthly,vw_cap,-1,59,3,2009-01-31,0.247512448394992
per,age,monthly,vw_cap,-1,60,3,2009-02-28,0.0700254042376898
per,age,monthly,vw_cap,-1,62,3,2009-03-31,0.531939389516768
per,age,monthly,vw_cap,-1,62,3,2009-04-30,0.236397403615105
per,age,monthly,vw_cap,-1,61,3,2009-05-31,0.286185882485802
per,age,monthly,vw_cap,-1,61,3,2009-06-30,-0.256207769084623
per,age,monthly,vw_cap,-1,61,3,2009-07-31,-0.0994451420981542
per,age,monthly,vw_cap,-1,63,3,2009-08-31,-0.506768578401723
per,age,monthly,vw_cap,-1,63,3,2009-09-30,-0.223695916851133
per,age,monthly,vw_cap,-1,65,3,2009-10-31,-0.224053578661303
per,age,monthly,vw_cap,-1,65,3,2009-11-30,-0.0517314917740669
per,age,monthly,vw_cap,-1,66,3,2009-12-31,-0.155574514632201
per,age,monthly,vw_cap,-1,68,3,2010-01-31,0.124647145667209
per,age,monthly,vw_cap,-1,62,3,2010-02-28,-0.0786060461012451
per,age,monthly,vw_cap,-1,63,3,2010-03-31,-0.0137487768409598
per,age,monthly,vw_cap,-1,64,3,2010-04-30,-0.0888770801445533
per,age,monthly,vw_cap,-1,66,2,2010-05-31,-0.153678325435732
per,age,monthly,vw_cap,-1,64,2,2010-06-30,-0.0941387871884348
per,age,monthly,vw_cap,-1,61,2,2010-07-31,0.231519945024775
per,age,monthly,vw_cap,-1,64,2,2010-08-31,0.0178466485353985
per,age,monthly,vw_cap,-1,64,3,2010-09-30,-0.0754064094445784
per,age,monthly,vw_cap,-1,67,3,2010-10-31,-0.0901763740973116
per,age,monthly,vw_cap,-1,69,3,2010-11-30,0.0298895539675003
per,age,monthly,vw_cap,-1,70,3,2010-12-31,0.024313121221603
per,age,monthly,vw_cap,-1,72,3,2011-01-31,-0.0485611234903604
per,age,monthly,vw_cap,-1,70,3,2011-02-28,0.00503035414120514
per,age,monthly,vw_cap,-1,68,3,2011-03-31,-0.0518059290189247
per,age,monthly,vw_cap,-1,63,3,2011-04-30,-0.0712879853346154
per,age,monthly,vw_cap,-1,63,3,2011-05-31,0.107317726743148
per,age,monthly,vw_cap,-1,67,3,2011-06-30,-0.00907645350899716
per,age,monthly,vw_cap,-1,65,3,2011-07-31,0.205867462867326
per,age,monthly,vw_cap,-1,62,2,2011-08-31,-0.0115636040016105
per,age,monthly,vw_cap,-1,64,3,2011-09-30,0.000811750497953956
per,age,monthly,vw_cap,-1,64,4,2011-10-31,-0.0483290289399803
per,age,monthly,vw_cap,-1,68,5,2011-11-30,-0.000326460342792519
per,age,monthly,vw_cap,-1,70,5,2011-12-31,-0.00808318843656207
per,age,monthly,vw_cap,-1,74,6,2012-01-31,0.0220240916786321
per,age,monthly,vw_cap,-1,75,7,2012-02-29,0.0094640767942676
per,age,monthly,vw_cap,-1,76,7,2012-03-31,-0.0837364708411409
per,age,monthly,vw_cap,-1,71,7,2012-04-30,-0.0803800803358965
per,age,monthly,vw_cap,-1,73,8,2012-05-31,-0.0516342535362297
per,age,monthly,vw_cap,-1,74,7,2012-06-30,-0.0452869530231931
per,age,monthly,vw_cap,-1,70,6,2012-07-31,-0.0157029244522895
per,age,monthly,vw_cap,-1,67,6,2012-08-31,0.0557960459865486
per,age,monthly,vw_cap,-1,78,9,2012-09-30,-0.0357185901416617
per,age,monthly,vw_cap,-1,73,8,2012-10-31,0.0231205134492348
per,age,monthly,vw_cap,-1,71,8,2012-11-30,-0.0418130333974759
per,age,monthly,vw_cap,-1,72,8,2012-12-31,-0.0522707847334628
per,age,monthly,vw_cap,-1,70,8,2013-01-31,-0.0671774040019212
per,age,monthly,vw_cap,-1,70,8,2013-02-28,0.00985724464319545
per,age,monthly,vw_cap,-1,65,8,2013-03-31,-0.0337565796561482
per,age,monthly,vw_cap,-1,64,8,2013-04-30,-0.0428897726963424
per,age,monthly,vw_cap,-1,63,6,2013-05-31,-0.0458207990027051
per,age,monthly,vw_cap,-1,63,7,2013-06-30,-0.00768535674228923
per,age,monthly,vw_cap,-1,57,6,2013-07-31,0.0394436252435146
per,age,monthly,vw_cap,-1,59,6,2013-08-31,-0.0320806716441787
per,age,monthly,vw_cap,-1,65,6,2013-09-30,0.024859164020754
per,age,monthly,vw_cap,-1,62,6,2013-10-31,-0.125671853524766
