location,name,freq,weighting,n_factors,date,ret
per,accruals,monthly,vw_cap,4,2007-01-31,0.0205860667336339
per,accruals,monthly,vw_cap,4,2007-02-28,0.0114294514655446
per,accruals,monthly,vw_cap,5,2007-03-31,-0.0414170166651331
per,accruals,monthly,vw_cap,5,2007-04-30,-0.0585137866263378
per,accruals,monthly,vw_cap,5,2007-05-31,-0.0231957279673404
per,accruals,monthly,vw_cap,5,2007-06-30,-0.0685091271734672
per,accruals,monthly,vw_cap,5,2007-07-31,-0.0503162164145653
per,accruals,monthly,vw_cap,5,2007-08-31,-0.0223564963488853
per,accruals,monthly,vw_cap,5,2007-09-30,-0.0606428264506217
per,accruals,monthly,vw_cap,5,2007-10-31,-0.0762336252456523
per,accruals,monthly,vw_cap,5,2007-11-30,0.064359807967117
per,accruals,monthly,vw_cap,5,2007-12-31,0.00921894195718803
per,accruals,monthly,vw_cap,5,2008-01-31,-0.0718712688882866
per,accruals,monthly,vw_cap,5,2008-02-29,-0.0849081731068357
per,accruals,monthly,vw_cap,5,2008-03-31,0.0961043980804423
per,accruals,monthly,vw_cap,5,2008-04-30,-0.0564534028699109
per,accruals,monthly,vw_cap,5,2008-05-31,0.00603724342673357
per,accruals,monthly,vw_cap,5,2008-06-30,-0.028760234392057
per,accruals,monthly,vw_cap,5,2008-07-31,0.00783824749034976
per,accruals,monthly,vw_cap,5,2008-08-31,0.0224103202751574
per,accruals,monthly,vw_cap,5,2008-09-30,0.0532496985295507
per,accruals,monthly,vw_cap,5,2008-10-31,0.0883104096189539
per,accruals,monthly,vw_cap,5,2008-11-30,0.134970644362371
per,accruals,monthly,vw_cap,5,2008-12-31,-0.0367533171486123
per,accruals,monthly,vw_cap,5,2009-01-31,-0.0127944129361367
per,accruals,monthly,vw_cap,5,2009-02-28,-0.0436716271617801
per,accruals,monthly,vw_cap,5,2009-03-31,-0.0242760546638051
per,accruals,monthly,vw_cap,5,2009-04-30,0.0268627571247487
per,accruals,monthly,vw_cap,5,2009-05-31,-0.0504647299701969
per,accruals,monthly,vw_cap,5,2009-06-30,0.0486621425766344
per,accruals,monthly,vw_cap,5,2009-07-31,-0.0269694461929115
per,accruals,monthly,vw_cap,5,2009-08-31,-0.019462769943966
per,accruals,monthly,vw_cap,5,2009-09-30,0.0902393670836734
per,accruals,monthly,vw_cap,5,2009-10-31,0.103661622920454
per,accruals,monthly,vw_cap,5,2009-11-30,-0.000435117790345474
per,accruals,monthly,vw_cap,5,2009-12-31,0.0159261721926917
per,accruals,monthly,vw_cap,5,2010-01-31,0.0450560854288568
per,accruals,monthly,vw_cap,5,2010-02-28,0.0550338590805927
per,accruals,monthly,vw_cap,5,2010-03-31,-0.0564172839171595
per,accruals,monthly,vw_cap,5,2010-04-30,-0.00115356743771192
per,accruals,monthly,vw_cap,5,2010-05-31,-0.0801019566392001
per,accruals,monthly,vw_cap,5,2010-06-30,-0.0669379783072786
per,accruals,monthly,vw_cap,5,2010-07-31,-0.0191209349956747
per,accruals,monthly,vw_cap,5,2010-08-31,-0.0284459056543418
per,accruals,monthly,vw_cap,5,2010-09-30,-0.00584107262844418
per,accruals,monthly,vw_cap,5,2010-10-31,-0.0689031044154835
per,accruals,monthly,vw_cap,5,2010-11-30,0.00374859950436642
per,accruals,monthly,vw_cap,5,2010-12-31,0.00216582852510057
per,accruals,monthly,vw_cap,5,2011-01-31,0.0946022049294568
per,accruals,monthly,vw_cap,5,2011-02-28,-0.0216719181260221
per,accruals,monthly,vw_cap,5,2011-03-31,-0.0125735871765119
per,accruals,monthly,vw_cap,5,2011-04-30,-0.0649684314526616
per,accruals,monthly,vw_cap,5,2011-05-31,-0.0225774412998298
per,accruals,monthly,vw_cap,5,2011-06-30,0.0164864935504843
per,accruals,monthly,vw_cap,5,2011-07-31,0.02639052814562
per,accruals,monthly,vw_cap,5,2011-08-31,-0.0730723440987443
per,accruals,monthly,vw_cap,5,2011-09-30,0.0580589854017442
per,accruals,monthly,vw_cap,5,2011-10-31,-0.0183420751988217
per,accruals,monthly,vw_cap,5,2011-11-30,0.0249207299795166
per,accruals,monthly,vw_cap,5,2011-12-31,-0.0151370842091488
per,accruals,monthly,vw_cap,5,2012-01-31,-0.0328847949354777
